,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Date,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
1,dt,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2,2013-08-31 00:00:00,353.0,1.0,2.0,1.0,8.0,6.0,286.0,1013.0,16.0,17.0,999.0,99.0,99.0
3,2013-09-01 00:00:00,164.0,4.0,5.0,1.0,11.0,6.0,260.0,1012.0,16.0,17.0,999.0,99.0,99.0
4,2013-09-02 00:00:00,181.0,7.0,8.0,2.0,10.0,6.0,277.0,1012.0,16.0,18.0,999.0,99.0,99.0
5,2013-09-03 00:00:00,177.0,7.0,8.0,2.0,8.0,5.0,247.0,1014.0,17.0,18.0,999.0,99.0,99.0
6,2013-09-04 00:00:00,176.0,4.0,5.0,1.0,7.0,5.0,234.0,1017.0,17.0,18.0,999.0,99.0,99.0
7,2013-09-05 00:00:00,225.0,3.0,4.0,1.0,11.0,6.0,207.0,1392.0,17.0,18.0,999.0,99.0,99.0
8,2013-09-06 00:00:00,285.0,5.0,6.0,6.0,15.0,10.0,324.0,1020.0,18.0,17.0,999.0,99.0,99.0
9,2013-09-07 00:00:00,127.0,3.0,4.0,2.0,11.0,7.0,305.0,1018.0,17.0,17.0,999.0,99.0,99.0
10,2013-09-08 00:00:00,224.0,9.0,10.0,2.0,8.0,5.0,324.0,1017.0,17.0,17.0,999.0,99.0,99.0
11,2013-09-09 00:00:00,94.0,9.0,12.0,2.0,6.0,5.0,312.0,1017.0,16.0,15.0,999.0,99.0,99.0
12,2013-09-10 00:00:00,196.0,9.0,10.0,2.0,6.0,5.0,343.0,1013.0,15.0,15.0,999.0,99.0,99.0
13,2013-09-11 00:00:00,230.0,6.0,7.0,10.0,16.0,14.0,349.0,1011.0,15.0,14.0,999.0,99.0,99.0
14,2013-09-12 00:00:00,167.0,4.0,5.0,2.0,14.0,9.0,283.0,1016.0,15.0,16.0,999.0,99.0,99.0
15,2013-09-13 00:00:00,155.0,2.0,2.0,1.0,11.0,9.0,287.0,1015.0,15.0,16.0,999.0,99.0,99.0
16,2013-09-14 00:00:00,39.0,4.0,5.0,5.0,13.0,11.0,312.0,1011.0,16.0,14.0,999.0,99.0,99.0
17,2013-09-15 00:00:00,210.0,2.0,3.0,1.0,12.0,8.0,262.0,1009.0,16.0,15.0,999.0,99.0,99.0
18,2013-09-16 00:00:00,193.0,4.0,5.0,2.0,13.0,8.0,274.0,1014.0,15.0,16.0,999.0,99.0,99.0
19,2013-09-17 00:00:00,216.0,3.0,4.0,6.0,15.0,11.0,318.0,1014.0,16.0,16.0,999.0,99.0,99.0
20,2013-09-18 00:00:00,266.0,2.0,3.0,2.0,11.0,8.0,297.0,1018.0,16.0,15.0,999.0,99.0,99.0
21,2013-09-19 00:00:00,101.0,3.0,4.0,1.0,10.0,8.0,308.0,1014.0,15.0,15.0,999.0,99.0,99.0
22,2013-09-20 00:00:00,169.0,7.0,8.0,6.0,16.0,11.0,300.0,1007.0,15.0,16.0,999.0,99.0,99.0
23,2013-09-21 00:00:00,193.0,5.0,6.0,3.0,12.0,9.0,283.0,1006.0,15.0,16.0,999.0,99.0,99.0
24,2013-09-22 00:00:00,221.0,8.0,10.0,3.0,11.0,8.0,274.0,1008.0,16.0,16.0,999.0,99.0,99.0
25,2013-09-23 00:00:00,243.0,5.0,7.0,4.0,13.0,9.0,290.0,1013.0,16.0,16.0,999.0,99.0,99.0
26,2013-09-24 00:00:00,196.0,4.0,6.0,4.0,14.0,11.0,295.0,1015.0,14.0,16.0,999.0,99.0,99.0
27,2013-09-25 00:00:00,254.0,3.0,5.0,4.0,13.0,9.0,310.0,1014.0,13.0,16.0,999.0,99.0,99.0
28,2013-09-26 00:00:00,95.0,4.0,5.0,3.0,12.0,8.0,312.0,1019.0,15.0,17.0,999.0,99.0,99.0
29,2013-09-27 00:00:00,257.0,6.0,8.0,2.0,8.0,6.0,286.0,1020.0,15.0,16.0,999.0,99.0,99.0
30,2013-09-28 00:00:00,212.0,12.0,14.0,7.0,14.0,10.0,268.0,1009.0,16.0,16.0,999.0,99.0,99.0
31,2013-09-29 00:00:00,218.0,12.0,15.0,6.0,12.0,9.0,258.0,1003.0,15.0,15.0,999.0,99.0,99.0
32,2013-09-30 00:00:00,243.0,12.0,15.0,15.0,21.0,17.0,346.0,1007.0,15.0,15.0,999.0,99.0,99.0
